Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,3782
Base Time Seconds,1618488308
Base Time Fractional,.354315348
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,-9.24482857769e-05,Amp DC,1,4.5,F,T,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.354315348
2,-8.389394115743e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.355315343
3,-3.481901676153e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.356315357
4,1.245499297765e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.357315352
5,3.376581641563e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.358315347
6,5.687755451034e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.359315362
7,7.113479554279e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.360315357
8,9.619752451562e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.361315352
9,0.0001002495824933,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.362315367
10,0.000111955527762,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.363315362
11,0.0001232112443666,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.364315357
12,0.0001163077381824,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.365315372
13,7.488670107764e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.366315367
14,2.220994736827e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.367315362
15,-2.852781604558e-06,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.368315377
16,-2.296299527138e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.369315372
17,-3.28680258834e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.370315387
18,-5.192770600047e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.371315382
19,-6.348357504782e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.372315377
20,-8.359378871464e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.373315391
21,-9.845133463267e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.374315386
22,-8.134264539373e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.375315381
23,-3.106711122667e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.376315396
24,1.170461187068e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.377315391
25,3.886840794303e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.378315386
26,6.167999359495e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.379315401
27,7.743799684134e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.380315396
28,9.42465336375e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.381315391
29,0.0001130060613118,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.382315406
30,0.0001151071284113,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.383315401
31,0.0001266629974586,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.384315396
32,0.0001124057564262,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.385315411
33,6.633235645817e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.386315406
34,1.830796561203e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:05:08,.387315401
