Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,10379
Base Time Seconds,1618489040
Base Time Fractional,.227990790
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,8.854363722452e-05,Amp DC,1,4.5,F,T,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.227990790
2,0.0001052020977993,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.228990785
3,0.0001200596437173,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.229990800
4,0.0001158575095183,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.230990795
5,8.959417077428e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.231990790
6,3.526657862957e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.232990805
7,4.951181907941e-06,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.233990800
8,-2.566436725648e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.234990815
9,-4.06719893959e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.235990810
10,-5.327839199301e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.236990825
11,-7.323852943844e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.237990820
12,-7.158769100311e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.238990835
13,-9.559988642618e-05,Amp DC,1,4.5,F,F,F,F,F,F,Front,F,Digitizer,04/15/2021,12:17:20,.239990830
